,Time,Raw Data (mV),Averaged data (20 samples)
,-0.70070667,42.12775,48.0687885
,-0.70004,44.96902,48.571886
,-0.69937333,47.75842,48.7841425
,-0.69870666,44.02295,48.818781
,-0.69803998,45.97308,49.206824
,-0.697373310000001,45.91815,49.4058045
,-0.69670664,48.02087,49.67864
,-0.69603997,46.97104,49.7767575
,-0.6953733,47.02292,50.0080875
,-0.69470662,50.77975,50.2414015
,-0.694039950000001,47.67602,50.170446
,-0.69337328,49.49492,50.412305
,-0.69270661,49.04324,50.438398
,-0.69203994,50.16938,50.533158
,-0.69137326,49.87029,50.579851
,-0.690706590000001,48.94253,50.641804
,-0.69003992,51.93029,50.783868
,-0.68937325,48.50307,50.6421095
,-0.68870658,52.33009,50.879238
,-0.688039900000001,49.85199,50.8624525
,-0.68737323,52.1897,50.8493295
,-0.68670656,49.21415,50.8407845
,-0.68603989,48.45119,50.8706925
,-0.68537322,51.78381,51.0391545
,-0.684706540000001,49.95269,50.93356
,-0.68403987,51.37486,50.9570595
,-0.6833732,49.98322,50.960569
,-0.68270653,51.59764,50.512557
,-0.682039860000001,51.6892,50.40208
,-0.681373180000001,49.36064,50.3610325
,-0.68070651,52.5132,50.4020795
,-0.68003984,50.01678,50.201573
,-0.67937317,50.93844,50.2276665
,-0.678706500000001,51.10324,50.1663245
,-0.67803982,51.10935,49.9687175
,-0.67737315,51.78381,49.844812
,-0.67670648,49.09512,49.729757
,-0.67603981,53.24564,49.764701
,-0.675373140000001,51.99438,49.4637885
,-0.67470646,49.58953,49.286629
,-0.67403979,52.0188,49.35438
,-0.67337312,49.81231,49.014251
,-0.67270645,51.82043,48.998076
,-0.67203978,49.67192,48.520156
,-0.6713731,50.42268,48.460798
,-0.67070643,51.44505,48.3190395
,-0.67003976,41.02298,48.0216365
,-0.669373090000001,49.3881,48.412121
,-0.66870642,50.86825,48.2465585
,-0.66803974,50.18158,48.016144
,-0.66737307,48.50307,47.782525
,-0.6667064,50.53865,47.697378
,-0.666039730000001,49.7116,47.470473
,-0.66537306,47.1511,47.2594375
,-0.66470638,48.63124,47.250129
,-0.66403971,49.48271,46.953642
,-0.66337304,49.794,46.6748555
,-0.66270637,47.22739,46.4758745
,-0.6620397,48.45119,46.2863545
,-0.66137302,50.94455,46.0405275
,-0.66070635,45.21622,45.594652
,-0.660039680000001,49.48881,45.592211
,-0.65937301,42.26203,45.2452155
,-0.65870634,48.48476,45.2513195
,-0.65803966,47.58751,44.985961
,-0.65737299,45.49699,44.730521
,-0.656706320000001,48.83267,44.5948665
,-0.65603965,46.07685,44.2031615
,-0.65537298,46.25996,44.052705
,-0.6547063,45.5092,43.8051995
,-0.65403963,46.80013,43.524582
,-0.65337296,46.00055,43.2738725
,-0.65270629,45.49089,42.9401525
,-0.65203962,46.96493,42.756126
,-0.65137294,42.7015,42.336039
,-0.650706270000001,43.90698,42.2403635
,-0.6500396,45.81438,42.080294
,-0.64937293,43.43699,41.596576
,-0.64870626,43.53465,41.4107185
,-0.64803958,42.02704,41.096683
,-0.647372910000001,45.1674,40.9215065
,-0.64670624,42.5489,40.413373
,-0.64603957,42.38411,40.119938
,-0.6453729,43.17759,39.956511
,-0.64470622,42.47871,39.625385
,-0.644039550000001,42.7839,39.3174535
,-0.64337288,40.99857,39.024018
,-0.64270621,43.06772,38.819849
,-0.64203954,41.30985,38.440199
,-0.641372860000001,39.89685,38.174383
,-0.64070619,41.78594,38.039949
,-0.64003952,39.32615,37.6480915
,-0.63937285,41.81036,37.5330365
,-0.63870618,38.56319,37.2289195
,-0.638039500000001,40.78799,37.0105595
,-0.63737283,40.70559,36.7026275
,-0.63670616,36.14002,36.342204
,-0.63603949,39.71984,36.42201
,-0.635372820000001,37.25394,36.0425125
,-0.634706140000001,38.52351,35.866421
,-0.63403947,35.00473,35.681479
,-0.6333728,36.6802,35.5961795
,-0.63270613,39.11557,35.44023
,-0.632039460000001,36.55507,35.0483725
,-0.63137278,36.32008,34.971771
,-0.63070611,36.91519,34.6333205
,-0.63003944,36.91519,34.3804745
,-0.62937277,35.47472,34.1590625
,-0.628706100000001,35.99353,33.853877
,-0.62803942,37.20817,33.5529645
,-0.62737275,33.94879,33.240302
,-0.62670608,37.02505,33.1783495
,-0.62603941,35.72802,32.8414255
,-0.62537274,34.19599,32.552873
